Rank,Season,Player,Age,Team(s),Minutes,Rotation Role,Offensive Archetype,Defensive Role,LEBRON WAR,LEBRON,O-LEBRON,D-LEBRON
1,2024-25,Shai Gilgeous-Alexander,26,OKC,2598,Star,Shot Creator,Helper,14.58,6.78,5.91,0.87
2,2024-25,Nikola Jokić,29,DEN,2571,Star,Post Scorer,Mobile Big,13.87,6.38,5.91,0.47
3,2024-25,Jayson Tatum,26,BOS,2624,Star,Shot Creator,Helper,11.19,4.39,3.49,0.9
4,2024-25,Giannis Antetokounmpo,30,MIL,2289,Star,Post Scorer,Helper,11.04,5.36,4.42,0.94
5,2024-25,James Harden,35,LAC,2789,Star,Shot Creator,Helper,10.6,3.62,2.97,0.65
6,2024-25,Tyrese Haliburton,24,IND,2451,Star,Shot Creator,Low Activity,9.42,3.69,3.8,-0.11
7,2024-25,Anthony Edwards,23,MIN,2871,Star,Shot Creator,Helper,9.06,2.57,2.88,-0.31
8,2024-25,Donovan Mitchell,28,CLE,2232,Star,Shot Creator,Chaser,8.44,3.59,3.93,-0.34
9,2024-25,Ivica Zubac,27,LAC,2624,Starter,Post Scorer,Anchor Big,8.34,2.6,0.85,1.76
10,2024-25,Karl-Anthony Towns,29,NYK,2517,Starter,Post Scorer,Anchor Big,8.18,2.72,2.12,0.6
11,2024-25,Derrick White,30,BOS,2574,Starter,Primary Ball Handler,Chaser,8.16,2.59,1.67,0.92
12,2024-25,Jarrett Allen,26,CLE,2296,Star,Athletic Finisher,Mobile Big,8.06,3.14,1.36,1.78
13,2024-25,Jalen Williams,23,OKC,2237,Starter,Shot Creator,Helper,8.01,3.26,2.35,0.91
14,2024-25,Evan Mobley,23,CLE,2167,Star,Shot Creator,Mobile Big,8,3.44,1.74,1.7
15,2024-25,Stephen Curry,36,GSW,2252,Star,Primary Ball Handler,Low Activity,7.57,2.9,3.4,-0.5
16,2024-25,Luka Dončić,25,DAL/LAL,1769,Star,Shot Creator,Helper,7.31,4.18,4.15,0.03
17,2024-25,LeBron James,40,LAL,2444,Star,Shot Creator,Helper,7.29,2.28,2.62,-0.34
18,2024-25,Josh Hart,29,NYK,2897,Starter,Primary Ball Handler,Helper,7.13,1.45,0.41,1.05
19,2024-25,Darius Garland,25,CLE,2301,Starter,Primary Ball Handler,Point of Attack,7.06,2.43,3.22,-0.79
20,2024-25,Domantas Sabonis,28,SAC,2429,Star,Roll + Cut Big,Mobile Big,6.89,2.05,1.59,0.47
21,2024-25,Payton Pritchard,27,BOS,2271,Key Rotation,Primary Ball Handler,Point of Attack,6.83,2.33,2.4,-0.07
22,2024-25,Anthony Davis,31,LAL/DAL,1706,Star,Shot Creator,Mobile Big,6.81,3.94,2.38,1.56
23,2024-25,Alperen Sengun,22,HOU,2394,Star,Shot Creator,Mobile Big,6.6,1.92,1.01,0.91
24,2024-25,Bam Adebayo,27,MIA,2674,Star,Shot Creator,Mobile Big,6.51,1.41,0.26,1.15
25,2024-25,Trae Young,26,ATL,2739,Star,Primary Ball Handler,Low Activity,6.49,1.31,2.89,-1.58
